Section 1 Header,Timestamp,Species,Location Header,GMU,County,District,Area,Region,Same Address,Incident Header,Incident Date,Incident Time,Complaint Type,Type of Property Damage,Service Provided,Hazing Method,Animal Data,Previous Ear Tag?,Ear Tag Side,Ear Tag Color,Ear Tag Number,Previous PIT tag #,Previous Collar,Sex,Age,Color,Further Response,Staff Assigned,Site Inspection Heading,Violation,Violation Action,Citation #,Marked Animal Heading,Capture Method,New Ear Tag Color,New Ear Tag Number,New PIT Tag (Dec),New Collar,Collar Manufacturer,Collar Type,Collar Frequency,Collar Code,Collar Serial #,Release Header,Release Date,Release Location,Seal #,Photos?,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Comments,Total Incidents
Bear/Lion Incident Report,9/4/2020 8:55,Black Bear,Incident Location,118,El Paso,288 - C Spgs SE,Area 14,SE,N,Incident Information,9/4/2020,8:45:00 AM,Sighting,,Advice/Phone Call,,Y,N,,,,,,Unknown,Sub-Adult,Cinnamon,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/30/2020 10:43,Black Bear,Incident Location,20,Larimer,184 - N Poudre/Laporte,Area 04,NE,Y,Incident Information,10/30/2020,9:40:00 AM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,12/7/2020 18:04,Black Bear,Incident Location,511,El Paso,284 - C Spgs NW,Area 14,SE,N,Incident Information,12/7/2020,2:30:00 PM,Sighting,,Site Inspection,,N,,,,,,,,,,Y,corey.adler@state.co.us,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"WL288:

RP stated that there was a dead bear along one of the hiking trails behind her house. I went up with Hayden to take a look at the carcass and try to get it out of the area. arriving at the carcass, it was noted that the bear had been dead for a while. The inside of the mouth looked mummified. It also looked like one of the front paws had been cut off. We tried to move the carcass, but it was frozen to the ground. We did not have any of the tools necessary to pry the bear from the ground. We also did not have enough daylight to come back. I will try to coordinate with 284 on how to get the bear out of there.",
Bear/Lion Incident Report,6/30/2020 7:54,Black Bear,Incident Location,104,Douglas,549 - Parker,Area 05,NE,Y,Incident Information,6/30/2020,7:54:00 AM,Food Source Property Damage,Trash,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/6/2020 9:35,Black Bear,Incident Location,29,Boulder,127 - Boulder N,Area 02,NE,Y,Incident Information,10/5/2020,6:30:00 PM,Sighting,,"Advice/Phone Call , Educational Materials",,N,,,,,,,,,,Y,"tyler.asnicar@state.co.us, jason.duetsch@state.co.us, jason.clay@state.co.us",,,,,,,,,,,,,,,,,,,,,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmM4ZDU1NzdmLlBob3RvJTIwMS4xNTQ5MjEuSlBHJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWRjNjVmODM3OTZjMzc3MWFkNzJhZjMwMDQ1OTY3NDExMzE3ZmM2NzY4OGYzMzRhMzMyNzE3OGRjOTllOTI3YzIyNDE4ZTFhMGExZTIyZjFmNjFhZTVmNmM0YmVhYjk0MA==&w=600,,,,,,
Bear/Lion Incident Report,8/3/2020 21:55,Black Bear,Incident Location,85,Las Animas,226 - Trinidad W,Area 11,SE,N,Incident Information,8/3/2020,9:55:00 PM,Sighting,,"Advice/Phone Call , Site Inspection , Educational Materials",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"Bear has been around campsite at Monument Lake, specifically partial hookup number 56. RP contacted Colorado State Patrol dispatch and said bear would not leave. Large black bear. Also observed by Carlos Gonzales 417 West Venturi Drive did Pueblo West phone number 719 281- 0428 who was camped immediately west of RP",
Bear/Lion Incident Report,9/28/2020 11:13,Black Bear,Incident Location,70,San Miguel,381 - Nucla,Area 18,SW,Y,Incident Information,9/27/2020,9:48:00 PM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/8/2020 9:44,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,N,Incident Information,9/2/2020,6:20:00 AM,Sighting,,No Action,,Y,,,,,,,Unknown,Sub-Adult,Black,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/14/2020 19:26,Black Bear,Incident Location,65,Montrose,384 - Montrose E,Area 18,SW,Y,Incident Information,7/14/2020,2:30:00 PM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/30/2020 15:52,Black Bear,Incident Location,51,Douglas,541 - Littleton,Area 05,NE,Y,Incident Information,7/30/2020,3:30:00 PM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/28/2020 9:08,Black Bear,Incident Location,110,El Paso,282 - C Spgs E,Area 14,SE,Y,Incident Information,9/6/2020,12:00:00 AM,Food Source Property Damage,Beehives,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/20/2020 17:03,Black Bear,Incident Location,54,Gunnison,344 - Gunnison NW,Area 16,SW,Y,Incident Information,7/20/2020,6:03:00 AM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/4/2020 10:06,Black Bear,Incident Location,34,Garfield,465 - Glenwood,Area 08,NW,Y,Incident Information,7/3/2020,10:06:00 AM,Sighting,,Site Inspection,,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,Small bear in tree at space 23.  GOA.  Same small bear that has been in the area.,
Bear/Lion Incident Report,10/29/2020 8:06,Black Bear,Incident Location,47,Pitkin,462 - Aspen,Area 08,NW,Y,Incident Information,10/28/2020,11:04:00 AM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/15/2020 13:16,Black Bear,Incident Location,110,El Paso,282 - C Spgs E,Area 14,SE,,Incident Information,9/15/2020,1:16:00 PM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/21/2020 10:46,Black Bear,Incident Location,20,Larimer,123 - Loveland,Area 02,NE,Y,Incident Information,10/20/2020,2:00:00 PM,"Food Source Property Damage , Sighting",Other,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjYzNTJlZDU2LlBob3RvJTIwMS4xNjU5NTYuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTA4ZGI5OTBiZmFlZDMzOWZlOTBmY2EwNjVkOWYwNWIwZjgwOTg4NzhmYTVjYzg4YjU3YjQ4OTI3ZDE2YmIwNzg2YzY5ZGFlNmFjNjkzOWM2NjI3NDZiOGE5YWY5NjJkMg==&w=600,,,,,,
Bear/Lion Incident Report,8/17/2020 20:56,Black Bear,Incident Location,37,Summit,485 - Breckenridge W,Area 09,NW,Y,Incident Information,8/15/2020,4:35:00 AM,Food Source Property Damage,Trash,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,6/27/2020 16:56,Black Bear,Incident Location,78,Archuleta,328 - Pagosa Spgs E,Area 15,SW,,Incident Information,6/27/2020,4:56:00 PM,Sighting,,"Advice/Phone Call , Site Inspection",,Y,N,,,,,,Male,Cub,Black,N,,Site Inspection,Y,Verbal Warning,,,,,,,,,,,,,,,,,N,,,,,,"Bear cub wandered into parking lot of Pagosa Wildlife Park. Bear went up tree in parking lot. RP cannot find the adult. Cub came down, RP put lasso on cub and led it into a nearby cage. A short while later n adult bear was spotted crossing highway away from vicinity of Cub. W328 left Cub at scene in cage that Mom could potentially tip over and reunite with cub. Could have been a yealing.
Caged turned over the next day and bear gone.",
Bear/Lion Incident Report,8/4/2020 10:06,Black Bear,Incident Location,78,Archuleta,328 - Pagosa Spgs E,Area 15,SW,Y,Incident Information,8/4/2020,9:15:00 AM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/27/2020 7:01,Black Bear,Incident Location,118,El Paso,288 - C Spgs SE,Area 14,SE,Y,Incident Information,8/26/2020,10:23:00 PM,"Food Source Property Damage , Sighting",Trash,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/11/2020 10:37,Black Bear,Incident Location,36,Eagle,468 - Vail,Area 08,NW,Y,Incident Information,8/8/2020,12:30:00 AM,"Food Source Property Damage , Non-Food Property Damage",Other,Advice/Phone Call,,N,,,,,,,,,,Y,devin.duval@state.co.us,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/15/2020 10:04,Black Bear,Incident Location,24,Rio Blanco,426 - Meeker N,Area 06,NW,N,Incident Information,7/14/2020,10:04:00 AM,Food Source Property Damage,Livestock,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/1/2020 15:26,Black Bear,Incident Location,46,Park,523 - Bailey,Area 01,NE,Y,Incident Information,6/28/2020,3:26:00 PM,"Food Source Property Damage , Sighting","Trash , Outside Food Source","Advice/Phone Call , Site Inspection , Hazed",Pepper Spray,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,Y,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjE4YjllNTk3LlBob3RvJTIwMS4yMTM1MTIuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWJjZmQwYjQxZDQ3MDFiNGMyZmU4MzEwMjRlNTU2YzNmNTRhMmU0YTJiNmUwZTgzMDY2YTcyMGFiODM5YjgzZGY4MTU5YWM4ZTUyYjkzOWQ1Yzc4N2FjOGUxYTBkNTIzZQ==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjE4YjllNTk3LlBob3RvJTIwMi4yMTM1MTIuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWFjMDJlYjU2NDkxZDBiN2UwYWYxOGVkZTlkYWUzM2EyNTQ2NThjODZiODk4M2ViMTFhOWRiMmVmYzQ3NzFkMmFjNDUwZDE5Mjg2MDQ3NTIyMDZjZmMxOWZlMjIxNWU4Nw==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjE4YjllNTk3LlBob3RvJTIwMy4yMTM1MTIuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWJjNjA1NzQxMTQzZjEyY2UwZDZmYWU3NzhiMmUxNDQ1MTczNjYwNDBmODA3NDU0YzRlMGIwMzVjYjIwMjM4MTNlMmRkOTIyNzgxYjM2YTczMDM5ZWRiMDdiNDgzNjk5Zg==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjE4YjllNTk3LlBob3RvJTIwNC4yMTQyMTYuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTljMjhjYmUwZDhhZTJiNzE5OGI4MjUxM2Q0MDBmNWU4NWUxNWQxMjg1MTViMzllMDU3YTJiYTQ0NDM1ZWVlZmMyMTEyMDBlZjA2NzNlNGJkZjEwZjM0ZWNmMjhhZWQ3Yw==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjE4YjllNTk3LlBob3RvJTIwNS4yMTQyMTYuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTY0ODA2NzBhMjk2NzA3ZmI2NmUwMmY5OGY1ZTU0YTE0MWY5Y2M4MjIzYjY1YzVhNmU1ZDU2Yzc4NDA0YzVhYzY1NjQwNDgwMjliMDljMTI0ZTg5MWY2MjZkYzVmYTRiMw==&w=600,"WLO523 had seen photos of a bear that was said to be getting into the dumpster at the Cutthroat Cafe just about every night, photos posted on cutthroat cafe facebook... May 30.
WLO523 made contact with the manager of the cutthroat cafe on June 27 at 3:20 pm.
The manager agreed that the bear had been getting into the dumpsters as well as the recycling they have behind the cafe.  The manager was instructed to contact Mt. View wast and get a dumpster with a steel led that can be secured to replace the plastic lids they currently had.  The manager agreed to do so.
WLO523 also set a pepper barrel in the back next to the recycling storage area.

On the afternoon of 13th of July the pepper barrel was removed by WLO523.  Who also noted that the Cutthroat still did not have a steel lid on their dumpster.

On the morning of the 15th of july WLO523 meet with Mt. View Wast and requested that they supply the Cutthroat with a steel lid on the dumpster.",
Bear/Lion Incident Report,8/19/2020 15:39,Black Bear,Incident Location,14,Routt,492 - Steamboat N,Area 10,NW,Y,Incident Information,8/19/2020,4:15:00 AM,Non-Food Property Damage,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/8/2020 13:18,Black Bear,Incident Location,69,Custer,265 - Canon City S,Area 13,SE,Y,Incident Information,7/8/2020,2:00:00 AM,Food Source Property Damage,"Outside Food Source , Livestock , Other","Advice/Phone Call , Site Inspection , Trap Set , Educational Materials",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,Y,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjIzNTRiMDIyLlBob3RvJTIwMS4xOTQzMTIuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTg3OTUzMmQ0M2ZjMWE4NDM4MWFjOGRhNjdhZTUxMmVkNmI4ZTQ1OWY4ZWE4OWU4NjhkYTQyNDE4YTUxMzE2NzgyYTcyNmJkMWJhNzdhOTE0OTUyMDFjNzJjZGM0MTFjZA==&w=600,,,,,"Bear got into tack shed and got sweet feed.  Climbed into the rafters the following day and was able to get to the grain after the RP secured the door.  There is no ceiling in the shed. WL 265 did a site inspection.  RP has a large amount of electric fence around his house and a charger.  I recommended that he electrify the tack shed, I brought him a bear unwelcome mat to use as well.  I will bring a pepper spray barrel to the property tomorrow and set it.  I have to pull one from a different set location.  RP is going to borrow a 12 gauge shotgun and I will give him rubber shot when I return to set the pepper spray barrel.  Gave him a ""Living with Bears"" pamphlet for further recommendations on how to minimize conflicts with bears.",
Bear/Lion Incident Report,9/4/2020 8:12,Black Bear,Incident Location,20,Larimer,184 - N Poudre/Laporte,Area 04,NE,Y,Incident Information,9/4/2020,6:50:00 AM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,6/25/2020 8:09,Black Bear,Incident Location,471,Pitkin,462 - Aspen,Area 08,NW,Y,Incident Information,6/24/2020,7:16:00 PM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,6/17/2020 11:03,Black Bear,Incident Location,20,Larimer,121 - Longmont N,Area 02,NE,Y,Incident Information,6/17/2020,5:30:00 AM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,4/7/2020 8:04,Black Bear,Incident Location,43,Pitkin,462 - Aspen,Area 08,NW,Y,Incident Information,4/6/2020,10:01:00 AM,Food Source Property Damage,Other,"No Action , Advice/Phone Call , Site Inspection , Trap Set",,N,,,,,,,,,,N,,Site Inspection,,,,,,,,,,,,,,,,,,,N,,,,,,"SMV Animal Services: bear in house through unlocked door and did obtain food
Trap set 4/6 removed 4/8",
Bear/Lion Incident Report,8/4/2020 15:58,Black Bear,Incident Location,77,Archuleta,325 - Pagosa Spgs W,Area 15,SW,N,Incident Information,8/4/2020,7:00:00 AM,"Food Source Property Damage , Sighting",Outside Food Source,Site Inspection,,Y,N,,,,,,Unknown,Adult,Black,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"RP stated that he saw a medium sized black bear eating bird seed out of a large feeder. Also said he continually sees deer feeding from it also. 325 spoke with homeowners, who are new residents, and educated them about bear awareness.",
Bear/Lion Incident Report,10/19/2020 8:13,Black Bear,Incident Location,39,Clear Creek,525 - Evergreen,Area 01,NE,Y,Incident Information,10/18/2020,6:00:00 PM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,Y,"joe.nicholson@state.co.us, joseph.walter@state.co.us, mark.lamb@state.co.us, jason.clay@state.co.us, jenny.campbell@state.co.us",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/17/2020 14:30,Black Bear,Incident Location,104,Douglas,549 - Parker,Area 05,NE,Y,Incident Information,7/16/2020,12:00:00 AM,"Food Source Property Damage , Sighting",Other,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/16/2020 12:40,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,N,Incident Information,9/16/2020,12:40:00 PM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/29/2020 16:39,Black Bear,Incident Location,39,Clear Creek,527 - Idaho Spgs,Area 01,NE,Y,Incident Information,7/29/2020,12:00:00 AM,"Non-Food Property Damage , Sighting",,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjUwZjJjOTk3LlBob3RvJTIwMS4xNTE3NDEuSlBHJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWU5ZWQ2MmJjZDg4MzdmNGE1OTBlMDViODI4M2Q3MTAzMjU4N2QwMTIyYTAxZTc3YzJmNTgyZWY1NTkxM2MxMDdmNGMyYTlhZjc3NTcxZDlmYjU4MDVkZWYzZmIyNWFmNQ==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjUwZjJjOTk3LlBob3RvJTIwMi4xNTE3NDAuSlBHJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWEwZDk0NTFhZjY3ZmFjNTI4OGQ0NTcyNjljYzE3ZGFiZjMwNDExZDdkMGFjOWQ5Zjc0ZDQyMTNjM2M1ODBkMTZlNzdjYTU2ODgxMzQ0NzExMjQzMzRlZGQ1ZDdjZDVjNg==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjUwZjJjOTk3LlBob3RvJTIwMy4xNTE3NDEuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWI2YzVjZTlmMmViNDU5MzZkMDU2ZWI3NmQ5YjI2NDNmMjVkMDJiODY3NGExMjE5MjMxMWNjYTRmZTUzYWRhOGNkMzgxNzQ1OWE4MGU3OTk1NDQzYzFlYmEzNTBlOGVjYg==&w=600,,,,
Bear/Lion Incident Report,8/24/2020 11:01,Black Bear,Incident Location,23,Rio Blanco,425 - Meeker S,Area 06,NW,N,Incident Information,8/14/2020,11:01:00 AM,Food Source Property Damage,Livestock,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/23/2020 11:40,Black Bear,Incident Location,511,El Paso,284 - C Spgs NW,Area 14,SE,Y,Incident Information,10/23/2020,12:00:00 PM,"Food Source Property Damage , Sighting",Trash,Advice/Phone Call,,Y,,,,,,,Unknown,Adult,Black,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/17/2020 10:36,Black Bear,Incident Location,71,Dolores,321 - Dolores,Area 15,SW,Y,Incident Information,8/17/2020,10:36:00 AM,Food Source Property Damage,Trash,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/31/2020 13:44,Black Bear,Incident Location,85,Las Animas,226 - Trinidad W,Area 11,SE,Y,Incident Information,7/31/2020,7:30:00 AM,Food Source Property Damage,"Outside Food Source , Livestock","Advice/Phone Call , Site Inspection , Trap Set",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"Bear killed domestic turkey in pen which was NOT electrified. Advise RP that all pens need to be electrified as Mr. Smalley is applying for license to propagate quail, pheasants, turkey etc. I advised bear would be euthanized if caught  and he said 'dang it' ......advised 4 times that supervisor would have me put bear down for one turkey. RP did not want bear in area??!",
Bear/Lion Incident Report,8/23/2020 13:34,Black Bear,Incident Location,20,Larimer,124 - Estes Park,Area 02,NE,,Incident Information,8/21/2020,11:00:00 PM,"Non-Food Property Damage , Sighting",,Advice/Phone Call,,Y,,,,,,,Unknown,Adult,Black,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/14/2020 10:48,Black Bear,Incident Location,45,Eagle,468 - Vail,Area 08,NW,Y,Incident Information,10/1/2020,9:54:00 PM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/18/2020 12:09,Black Bear,Incident Location,66,Gunnison,343 - Lake City,Area 16,SW,Y,Incident Information,8/18/2020,12:09:00 AM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/13/2020 16:22,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,Y,Incident Information,8/13/2020,4:22:00 PM,Sighting,,Site Inspection,,Y,,,,,,,Female,Adult,Black,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"WL283 responded to look at an injured sow with two cubs. All bears were black. The sow has an injured back right leg. She won’t put any weight on it. Other than that injury, the sow and cubs are in good condition.",
Bear/Lion Incident Report,4/20/2020 17:43,Black Bear,Incident Location,46,Jefferson,524 - Conifer,Area 01,NE,Y,Incident Information,4/20/2020,5:43:00 PM,Food Source Property Damage,Livestock,"Site Inspection , Trap Set",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,Y,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjE5YWYwZjJkLlBob3RvJTIwMS4yMzUyMTcuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTZjOGZkNDA1YzdjOWRkYjYwYzQxYTgwYmUzMTY5NjlhN2I5Y2Q4Y2RiOGNhNWQ5MTI1ZTk0ZmUzZTc5MmZlNzc2NzExOWU3ZmUwMzM0ZTNlMjUzN2IzYTAzNGFhODNlZg==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjE5YWYwZjJkLlBob3RvJTIwMi4yMzUyMTcuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWRiNWFmNjlmMGYxYzZlM2MzODc4NTRmZmM5MjdhMDVmY2E0MmM1ZjIxOGYzYTVkZDA3MjVmZGM0MjVhNjQ4YmMzZDIwNmFiOTU4OTQzMTdlM2VmYWRmMTYyMWFlYjQ2ZQ==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjE5YWYwZjJkLlBob3RvJTIwMy4yMzUyMTcuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWY5OWQ3MjIwODFiZDg5M2IzOTIxOThiODFmNDMwMzA3MmI2MWFlODNiM2U2ZmRkYjU2ZTVlZWJlZDkyMDM4MTE1NzNjZWM5MDc5ZWEwOTc2MmJiZjU2M2FiZWE5ZTg0Mw==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjE5YWYwZjJkLlBob3RvJTIwNC4yMzUyMjIuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTVkMzU4ZDIwNDRiMjhlZTA0Y2NiMmUwYzU0OWYwYjM2MzQwNGVjMzljZWU1OTFmMWRhNDA5MWI2NmIyMDA1NGNlOTUxMzVmMDc4N2NiYTAwNGFkOTA4NjM1NzZhMGExNw==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjE5YWYwZjJkLlBob3RvJTIwNS4yMzUyMjIuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWRhM2U4NWI1YzE4ZGZiNGQwNWQyOWZhODEwMjU4MjcyMjU2ZGU2ZTI3NWY3YTM5YTM4MjJlZGIwZjM2ZTlmZWIyYzhlMDQ1NGZjMGZlMTZlODdiYWQwMTg2NTc0YzZhYg==&w=600,"Bear killed three goats inside fenced pen.  One goat completely consumed, skinned clean consistent with bear depredation, blunt force trauma evident on other goats, suspected bear bed found in duff outside pen. Owner had removed goats so could not document scene as left by predator. Goat carcasses removed and trap set on 4/20/2020

Pulled trap on 4/25/2020.  Bear never came back.  WL 524.",
Bear/Lion Incident Report,9/2/2020 8:16,Black Bear,Incident Location,20,Larimer,123 - Loveland,Area 02,NE,Y,Incident Information,9/2/2020,7:30:00 AM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
